hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering
IND388620AAB,1.0,11.0,1.0,13.0,1.712473572938689,1.0,0.00040318461111840854,0.0002736320610028136,1.0
IND389001AAA,1.0,21.0,1.0,21.0,1.71875,0.8571428571428571,0.0008122071894566312,0.0003638761194742923,0.0
IND389151AAA,1.0,21.0,1.0,11.0,1.9074595355383532,0.8125,0.000406468467679554,0.00042493791400839443,0.0
IND389230AAB,1.0,1.0,0.0,0.0,2.2903225806451615,1.0,0.0,0.00022398746546913018,0.0
IND390018AAB,1.0,1.0,1.0,1.0,2.6818181818181817,1.0,0.0,0.00017172343669530796,0.0
IND390020AAA,3.0,8.0,3.0,10.0,2.9548387096774196,1.0,0.0012135674358188478,0.0006597673440009467,0.3333333333333333
IND390022AAA,5.0,28.0,4.0,50.0,1.7160138248847927,0.9358974358974359,0.005774479326298583,0.0010309795784771585,0.26666666666666666
IND391110AAD,1.0,7.0,2.0,5.0,2.417338709677419,1.0,0.0,0.0005082047821358072,1.0
IND394221AAA,1.0,2.0,0.0,0.0,4.0133689839572195,1.0,0.0,0.0001470871013291491,0.0
IND395001AAA,1.0,8.0,1.0,14.0,8.785714285714285,1.0,0.0,0.00036727808639759585,0.0
IND395004AAB,1.0,17.0,1.0,4.0,2.533333333333333,1.0,0.0,0.0006503673195827634,0.0
IND395006AAA,1.0,27.0,1.0,3.0,1.9230769230769231,1.0,0.0,0.0009649109120107273,0.0
IND395009AAA,1.0,4.0,1.0,16.0,9.31875,1.0,0.0,0.0002414606494264103,0.0
IND395010AAB,0.0,0.0,1.0,1.0,1.4375,1.0,0.0,0.00011564321245522476,0.0
IND395023AAA,8.0,81.0,8.0,93.0,1.7762619486835485,1.0,0.011583621582964812,0.0017201656854557003,0.16363636363636364
IND395023AAD,5.0,42.0,5.0,63.0,2.5384615384615383,1.0,1.787877461068056e-05,0.0023313230967151456,0.0
IND396001AAA,1.0,8.0,1.0,5.0,1.625,1.0,6.202840171052439e-06,0.00038266524946513466,0.0
IND396105AAA,1.0,2.0,1.0,2.0,1.2474916387959867,0.5,0.0,0.00016789892701394216,0.0
IND396191AAB,0.0,0.0,1.0,2.0,1.956964656964657,1.0,0.0,0.00011564321245522476,0.0
IND396191AAC,3.0,27.0,5.0,29.0,2.2899159663865545,0.9642857142857143,0.0020213961498606187,0.0008914210130604094,0.1
IND396210AAA,1.0,1.0,0.0,0.0,3.909090909090909,1.0,0.0,0.00014177106973458346,0.0
IND396232AAA,1.0,17.0,1.0,15.0,2.3333333333333335,1.0,0.0,0.0005598167862043224,0.0
IND396321AAA,2.0,15.0,2.0,25.0,1.8777777777777778,1.0,9.12182378095947e-06,0.000981698665441537,0.0
IND396445AAA,1.0,7.0,1.0,7.0,1.875,1.0,6.202840171052439e-06,0.0003358237271547995,0.0
IND396580AAB,1.0,17.0,1.0,8.0,1.9696969696969697,1.0,0.0,0.0006830650411012832,0.0
IND400011AAA,2.0,19.0,2.0,65.0,2.7573529411764706,0.9880952380952381,0.0008078287140417706,0.00023083512552730628,0.0
IND400015AAA,3.0,110.0,2.0,37.0,2.7857142857142856,1.0,0.00040354948406964695,0.0011373703766846721,0.3333333333333333
IND400015AAB,2.0,32.0,2.0,29.0,2.5517241379310347,1.0,0.0,0.00038763822679449046,1.0
IND400016AAA,0.0,0.0,1.0,1.0,1.8,1.0,0.0,0.00011564321245522476,0.0
IND400016AAB,0.0,0.0,2.0,16.0,2.9198717948717947,1.0,0.0,0.00011564321245522476,0.0
IND400037AAA,1.0,2.0,1.0,13.0,3.3333333333333335,1.0,0.0,0.0017605021796023954,0.0
IND400052AAA,1.0,8.0,0.0,0.0,4.007142857142857,1.0,0.0,0.0002370492901999767,0.0
IND400064AAB,0.0,0.0,2.0,21.0,3.076923076923077,1.0,0.0,0.00011564321245522476,0.0
IND400072AAA,1.0,29.0,1.0,1.0,2.509569377990431,1.0,0.0,0.0003621875759972953,0.0
IND400072AAB,11.0,234.0,11.0,300.0,2.6666666666666665,1.0,0.004455098734620605,0.0029815027914948116,0.07692307692307693
IND400072AAC,0.0,0.0,1.0,17.0,3.0454545454545454,1.0,0.0,0.00011564321245522476,0.0
IND400072AAD,3.0,85.0,1.0,99.0,2.6833333333333336,0.9945652173913043,0.0016083599690587737,0.0004473564397275044,0.0
IND400072AAI,0.0,0.0,1.0,1.0,9.416666666666666,1.0,0.0,0.00011564321245522476,0.0
IND400072AAJ,2.0,51.0,1.0,2.0,2.85,1.0,0.0004061035947283156,0.001935128196654866,0.0
IND400078AAB,1.0,1.0,0.0,0.0,2.6666666666666665,1.0,0.0,0.00012414474223253755,0.0
IND400102AAB,1.0,33.0,1.0,20.0,2.3703703703703702,1.0,0.0,0.0003961936951065464,0.0
IND400102AAC,1.0,62.0,2.0,36.0,2.9827586206896552,0.9897959183673469,0.00040573872177707723,0.0006427380586486169,0.0
IND400612AAA,1.0,14.0,1.0,10.0,2.4,1.0,0.0,0.0003432388550325664,0.0
IND400701AAA,1.0,1.0,2.0,18.0,1.8518518518518519,1.0,0.0008111125706029161,0.00013177375043657121,0.3333333333333333
IND400701AAB,2.0,25.0,1.0,26.0,2.526315789473684,1.0,0.0,0.0003280196412838148,1.0
IND400705AAA,1.0,1.0,1.0,12.0,3.375,1.0,0.00040573872177707723,0.00012186586178139634,0.0
IND400706AAA,1.0,2.0,1.0,2.0,4.712121212121212,1.0,0.0,0.00014790428841791767,0.0
IND401104AAA,4.0,185.0,4.0,83.0,2.861904761904762,1.0,0.001616387173986018,0.0015355134764174637,0.2
IND401104AAB,2.0,11.0,2.0,28.0,2.44,1.0,0.0,0.0002091061014709222,1.0
IND401208AAA,1.0,37.0,0.0,0.0,2.5555555555555554,1.0,0.0,0.0006974733188809457,0.0
IND401209AAA,1.0,1.0,1.0,23.0,6.117132867132867,1.0,0.0,0.00013136835046673073,0.0
IND401209AAB,0.0,0.0,3.0,32.0,2.843597262952102,1.0,0.0,0.00011564321245522476,0.3333333333333333
IND401501AAA,1.0,17.0,1.0,17.0,3.4353846153846153,1.0,0.0,0.0007709547496994885,0.0
IND401602AAA,1.0,17.0,1.0,17.0,3.4353846153846153,1.0,0.0,0.0007709547496994885,0.0
IND402107AAA,1.0,13.0,1.0,18.0,2.2857142857142856,1.0,3.648729512383788e-07,0.0007709547496994884,1.0
IND402109AAA,1.0,18.0,1.0,20.0,2.188888888888889,1.0,3.648729512383788e-07,0.0007709547496994885,1.0
IND402301AAA,1.0,20.0,1.0,13.0,2.015625,1.0,3.648729512383788e-07,0.0007709547496994885,1.0
IND403002AAA,1.0,4.0,1.0,1.0,1.3478260869565217,0.8,0.0,0.00045376464445798015,0.0
IND403401AAA,1.0,6.0,1.0,3.0,2.1739130434782608,1.0,0.0,0.0006228253604593578,0.0
IND403507AAA,1.0,5.0,1.0,3.0,1.295238095238095,0.75,0.0,0.000538295002458669,0.0
IND403507AAB,1.0,1.0,1.0,1.0,1.5108695652173911,0.5,0.0,0.00020017357045591362,0.0
IND403601AAA,1.0,6.0,1.0,4.0,1.6047794117647058,1.0,0.0,0.0006228253604593578,0.0
IND403702AAA,1.0,9.0,2.0,9.0,1.8790064102564101,1.0,0.0013365296203861816,0.0003846233510730896,0.6666666666666666
IND403726AAA,4.0,43.0,6.0,43.0,1.8763476440975169,1.0,0.007042047958900711,0.0015119145046492842,0.1388888888888889
IND403726AAB,5.0,12.0,5.0,22.0,1.6449579831932772,0.8823529411764706,7.297459024767576e-06,0.0021878445599056535,0.0
IND410206AAA,2.0,19.0,1.0,13.0,2.0964673913043477,1.0,0.00040245486521593184,0.0002536893269628344,1.0
IND410206AAB,1.0,1.0,1.0,36.0,2.4375,1.0,0.0,0.00013177375043657121,0.0
IND410209AAA,1.0,40.0,0.0,0.0,2.142857142857143,0.975,0.0,0.0007608647317090828,0.0
IND410210AAA,1.0,13.0,0.0,0.0,2.875,1.0,0.0,0.00032534020621272867,0.0
IND410401AAA,1.0,11.0,1.0,9.0,2.0123456790123457,1.0,0.0,0.0002091600400056653,0.0
IND410501AAF,1.0,5.0,1.0,4.0,3.3703703703703702,1.0,0.0,0.00033575644262489565,1.0
IND410503AAA,1.0,3.0,1.0,2.0,2.6808510638297873,1.0,0.0,0.00016232368205239319,1.0
IND410505AAB,2.0,9.0,2.0,7.0,2.314935064935065,1.0,0.000808193586993009,0.0003625394379264921,0.6666666666666666
IND411014AAA,3.0,48.0,3.0,28.0,2.7857142857142856,1.0,0.001616387173986018,0.0014766656093841619,0.0
IND411017AAA,1.0,33.0,1.0,2.0,2.2857142857142856,1.0,0.0,0.0007709547496994885,0.0
IND411021AAA,1.0,41.0,1.0,32.0,2.0,0.7123287671232876,0.0,0.0007536096302831933,0.0
IND411033AAA,23.0,330.0,20.0,403.0,1.8746518105849581,0.9713506139154161,0.05127377147277318,0.007377344803002603,0.06157635467980296
IND411033AAB,0.0,0.0,1.0,1.0,4.388888888888889,1.0,0.0,0.00011564321245522476,0.0
IND411036AAA,1.0,32.0,1.0,33.0,2.1,1.0,0.0,0.000613568221491688,0.0
IND411043AAA,1.0,7.0,1.0,3.0,4.08125,1.0,0.0,0.0004294346544493985,0.0
IND411048AAA,1.0,6.0,1.0,2.0,5.1,1.0,0.0,0.00038460730559308797,0.0
