hub,touched_legs,affected_trips,attributed_breaches,attributed_excess_minutes,median_delay_ratio,sla_breach_contribution_pct,revenue_at_risk_inr,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering,hub_name,bottleneck_score
IND000000ACB,995.5,1848,858.0,284463.5,1.6721311475409837,3.55618187093298,429000.0,45.0,928.0,49.0,1063.0,1.6721311475409837,0.861878453038674,0.3020144635637871,0.019287415605027516,0.03715846994535519,Gurgaon_Bilaspur_HB (Haryana),0.8253178728508597
IND562132AAA,716.5,1366,654.5,154394.0,1.6372881355932203,2.7127284784681063,327250.0,36.0,665.0,35.0,768.0,1.6372881355932203,0.9134682484298674,0.13434293678940992,0.013149040886925952,0.05357142857142857,Bangalore_Nelmngla_H (Karnataka),0.48500212357653205
IND421302AAG,702.0,1281,701.5,140766.5,2.210526315789474,2.9075309818875117,350750.0,29.0,583.0,29.0,821.0,2.210526315789474,0.9992877492877493,0.05963884875286425,0.008211477584909437,0.06156156156156156,Bhiwandi_Mankoli_HB (Maharashtra),0.42757567872763097
IND712311AAA,240.5,430,239.0,92735.5,2.422317596566524,0.9905914535582542,119500.0,24.0,219.0,22.0,262.0,2.422317596566524,0.9937629937629938,0.08621035655384796,0.008672757694187938,0.0392156862745098,Kolkata_Dankuni_HB (West Bengal),0.2761205030922179
IND501359AAE,367.0,662,354.5,72737.5,1.8005449591280653,1.4693082438761553,177250.0,30.0,405.0,27.0,329.0,1.8005449591280653,0.9659400544959128,0.08357560897295561,0.01117093619434434,0.042682926829268296,Hyderabad_Shamshbd_H (Telangana),0.27271311269746684
