hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering,total_volume,x,y,is_top_bottleneck,bottleneck_rank
IND000000ACA,13.0,134.0,9.0,128.0,1.9347517730496455,0.9083969465648855,0.012017090649036005,0.0038566317186335924,0.11666666666666667,262.0,0.3414021361273085,0.19219144951699532,False,
IND000000ACB,45.0,928.0,49.0,1063.0,1.6721311475409837,0.861878453038674,0.3020144635637871,0.019287415605027516,0.03715846994535519,1991.0,0.04410626785380089,0.044224360942262744,True,1.0
IND000000ACT,0.0,0.0,3.0,160.0,1.5285714285714285,0.80625,0.0,0.00011564321245522476,1.0,160.0,0.14674419140289924,0.24838686229322682,False,
IND000000AFT,5.0,172.0,8.0,84.0,2.388888888888889,0.99609375,0.0048455127924456705,0.0015940766946270204,0.07142857142857142,256.0,-0.2313823158086919,-0.31132437013230113,False,
IND110035AAC,1.0,36.0,1.0,3.0,2.1578947368421053,0.8974358974358975,0.0,0.0007623177504635899,0.0,39.0,0.2336393893014369,-0.3858156963711346,False,
IND110037AAK,1.0,39.0,1.0,43.0,1.7940613026819923,1.0,0.0,0.0007171275278896059,0.0,82.0,0.031607173193619664,0.235081219551338,False,
IND110037AAM,21.0,189.0,24.0,256.0,1.9364608076009502,0.9685393258426966,0.03361246114103069,0.0054100876382393165,0.07056451612903226,445.0,0.1461549749756001,-0.19054999878081674,False,
IND110044AAB,2.0,50.0,6.0,172.0,1.7376344086021507,0.9819819819819819,0.0027825211261438766,0.0004236006580015766,0.39285714285714285,222.0,0.206167776080945,-0.14023418984616012,False,
IND110064AAA,2.0,50.0,3.0,42.0,1.642494929006085,0.8695652173913043,0.0008114774435541545,0.0008918579639048423,0.16666666666666666,92.0,0.15710254267464713,0.01437128011761029,False,
IND121002AAB,1.0,57.0,1.0,29.0,1.8881064162754302,0.9767441860465116,0.0,0.0009947356734747049,0.0,86.0,-0.0366836776203229,0.21831025283559288,False,
IND121004AAB,9.0,145.0,7.0,169.0,2.007575757575758,0.9968152866242038,0.0062163404702482595,0.003609196348955414,0.05555555555555555,314.0,0.15075981878460828,-0.06218302926241651,False,
IND134109AAA,0.0,0.0,1.0,15.0,10.0,1.0,0.0,0.00011564321245522476,0.0,15.0,0.4625899582658081,0.19313470783863013,False,
IND144001AAB,5.0,76.0,5.0,58.0,2.0419580419580416,0.9328358208955224,0.003630485864821869,0.002635872186132837,0.26666666666666666,134.0,0.2882766465494406,0.22064079310989024,False,
IND152026AAA,6.0,35.0,7.0,37.0,1.7478813559322033,0.8333333333333334,0.004436125341156209,0.0013869379931258662,0.19444444444444445,72.0,0.39904551653164116,0.2530437614994622,False,
IND160002AAC,32.0,431.0,29.0,370.0,1.8625592417061612,0.9313358302122348,0.05309229826174526,0.010053811597771935,0.03433001107419712,801.0,0.17930770530329396,0.06426578435833179,False,
IND177033AAA,1.0,9.0,1.0,18.0,2.2666666666666666,1.0,0.0008078287140417706,0.000297492164041069,0.0,27.0,0.33074630031653124,0.3299173137428575,False,
IND208012AAA,1.0,21.0,1.0,13.0,2.135714285714286,0.6764705882352942,0.0,0.0006091668893771373,0.0,34.0,0.4229878397055964,-0.3442688994263448,False,
IND209304AAA,16.0,172.0,13.0,220.0,1.7941661963882618,0.8239795918367347,0.04199468744982997,0.006082644757580144,0.03463203463203463,392.0,0.26355878421243734,-0.19265559625247877,False,
IND210501AAB,0.0,0.0,1.0,16.0,2.589681903234429,1.0,0.0,0.00011564321245522476,0.0,16.0,0.5315436198841215,-0.37245665409905515,False,
IND302014AAA,10.0,96.0,8.0,96.0,1.7739183806398278,1.0,0.040638089817125675,0.0028976610747509703,0.06666666666666667,192.0,0.06700878042487779,-0.027947844933940324,False,
IND380021AAA,0.0,0.0,1.0,32.0,2.3125,1.0,0.0,0.00011564321245522476,0.0,32.0,0.14911528014520042,0.16954972813832664,False,
IND382430AAB,17.0,257.0,13.0,280.0,1.9595959595959596,0.9832402234636871,0.03213545543441774,0.003893849521867412,0.03985507246376811,537.0,-0.0164182202548391,-0.021805891852737822,False,
IND395023AAA,8.0,81.0,8.0,93.0,1.7762619486835485,1.0,0.011583621582964812,0.0017201656854557003,0.16363636363636364,174.0,-0.062195653663667985,-0.1503931292420083,False,
IND400011AAA,2.0,19.0,2.0,65.0,2.7573529411764706,0.9880952380952381,0.0008078287140417706,0.00023083512552730628,0.0,84.0,-0.40079327586457647,-0.5286674655525154,False,
IND400015AAA,3.0,110.0,2.0,37.0,2.7857142857142856,1.0,0.00040354948406964695,0.0011373703766846721,0.3333333333333333,147.0,-0.20005866856575566,-0.37147116012343695,False,
IND400015AAB,2.0,32.0,2.0,29.0,2.5517241379310347,1.0,0.0,0.00038763822679449046,1.0,61.0,-0.2850840845132919,-0.28838369312169887,False,
IND400072AAB,11.0,234.0,11.0,300.0,2.6666666666666665,1.0,0.004455098734620605,0.0029815027914948116,0.07692307692307693,534.0,-0.2750750266729604,-0.3585414762504734,False,
IND400072AAD,3.0,85.0,1.0,99.0,2.6833333333333336,0.9945652173913043,0.0016083599690587737,0.0004473564397275044,0.0,184.0,-0.24707945897041023,-0.5501422958520676,False,
IND400072AAJ,2.0,51.0,1.0,2.0,2.85,1.0,0.0004061035947283156,0.001935128196654866,0.0,53.0,-0.37638682122503175,-0.403521349277318,False,
IND400102AAB,1.0,33.0,1.0,20.0,2.3703703703703702,1.0,0.0,0.0003961936951065464,0.0,53.0,-0.11785098736446663,-0.4775182046232553,False,
IND400102AAC,1.0,62.0,2.0,36.0,2.9827586206896552,0.9897959183673469,0.00040573872177707723,0.0006427380586486169,0.0,98.0,-0.06319932756641566,-0.41922512330209616,False,
IND400701AAB,2.0,25.0,1.0,26.0,2.526315789473684,1.0,0.0,0.0003280196412838148,1.0,51.0,-0.1668471463841536,-0.42622595049018025,False,
IND401104AAA,4.0,185.0,4.0,83.0,2.861904761904762,1.0,0.001616387173986018,0.0015355134764174637,0.2,268.0,-0.306909119605879,-0.5135367208650766,False,
IND401104AAB,2.0,11.0,2.0,28.0,2.44,1.0,0.0,0.0002091061014709222,1.0,39.0,-0.2328894659766596,-0.4182837208860621,False,
IND401208AAA,1.0,37.0,0.0,0.0,2.5555555555555554,1.0,0.0,0.0006974733188809457,0.0,37.0,-0.4795506441534461,-0.7548235571963016,False,
IND401209AAA,1.0,1.0,1.0,23.0,6.117132867132867,1.0,0.0,0.00013136835046673073,0.0,24.0,-0.40870695398709417,-0.6896052207685955,False,
