source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,x0,y0,x1,y1,is_chronic_delay
IND000000ACA,IND144001AAB,17,17,1.6382978723404256,1.0,79.0,48.0,69.4616,616.0,67.0,0.24253562503633297,0.3414021361273085,0.19219144951699532,0.2882766465494406,0.22064079310989024,True
IND000000ACA,IND152026AAA,1,1,1.5565217391304347,1.0,179.0,115.0,154.5822,64.0,142.0,1.0,0.3414021361273085,0.19219144951699532,0.39904551653164116,0.2530437614994622,True
IND000000ACA,IND160002AAC,71,71,2.1159420289855073,1.0,131.0,61.0,88.8839,5097.0,107.0,0.11867816581938533,0.3414021361273085,0.19219144951699532,0.17930770530329396,0.06426578435833179,True
IND000000ACB,IND110037AAK,39,39,1.75,1.0,69.0,38.0,39.2915,2185.0,125.0,0.16012815380508713,0.04410626785380089,0.044224360942262744,0.031607173193619664,0.235081219551338,True
IND000000ACB,IND110064AAA,48,48,1.5705049261083743,0.8958333333333334,95.5,60.0,59.407650000000004,1955.0,106.5,0.14433756729740646,0.04410626785380089,0.044224360942262744,0.15710254267464713,0.01437128011761029,True
IND000000ACB,IND121002AAB,57,57,1.90625,1.0,122.0,65.0,70.6197,4032.0,116.0,0.13245323570650439,0.04410626785380089,0.044224360942262744,-0.0366836776203229,0.21831025283559288,True
IND000000ACB,IND121004AAB,31,31,1.8032786885245902,1.0,114.0,63.0,64.8236,1849.0,71.0,0.1796053020267749,0.04410626785380089,0.044224360942262744,0.15075981878460828,-0.06218302926241651,True
IND000000ACB,IND160002AAC,58,58,2.1404506650784194,1.0,467.5,218.5,293.31785,17797.0,354.5,0.13130643285972254,0.04410626785380089,0.044224360942262744,0.17930770530329396,0.06426578435833179,True
IND000000ACB,IND209304AAA,15,15,2.0955223880597016,1.0,732.0,367.0,512.1734,5606.0,193.0,0.2581988897471611,0.04410626785380089,0.044224360942262744,0.26355878421243734,-0.19265559625247877,True
IND000000ACB,IND302014AAA,30,30,1.6880708294501399,1.0,319.5,186.5,236.00885,3815.0,209.0,0.18257418583505536,0.04410626785380089,0.044224360942262744,0.06700878042487779,-0.027947844933940324,True
IND000000ACB,IND382430AAB,17,17,1.7880690737833596,1.0,1176.0,637.0,882.4261,8903.0,174.0,0.24253562503633297,0.04410626785380089,0.044224360942262744,-0.0164182202548391,-0.021805891852737822,True
IND000000ACB,IND411033AAA,22,22,1.5551732745096087,1.0,1785.5,1144.0,1409.15625,13907.0,158.0,0.21320071635561041,0.04410626785380089,0.044224360942262744,-0.2247129255595074,-0.11564232576112854,True
IND000000ACB,IND421302AAG,33,33,1.7536496350364963,1.0,1858.0,1059.0,1393.77,27724.0,256.0,0.17407765595569785,0.04410626785380089,0.044224360942262744,-0.09652734779696122,-0.25429256805432443,True
IND000000ACB,IND462022AAA,18,18,1.512555210921724,1.0,1090.5,720.0,772.1985500000001,6495.0,167.0,0.23570226039551587,0.04410626785380089,0.044224360942262744,0.05407200671450757,-0.21431928151636812,True
IND000000ACB,IND501359AAE,29,29,1.7863599013968776,1.0,2229.0,1258.0,1691.1569,29767.0,247.0,0.18569533817705186,0.04410626785380089,0.044224360942262744,-0.10666295673000845,-0.019723457401459518,True
