source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND160002AAC,IND000000ACB,66,66,1.9289927574105876,1.0,421.0,218.0,293.52405,15266.0,236.5,0.12309149097933272,66,66,0.5823952291354793,True,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),IND160002AAC → IND000000ACB,0.36511582775131957
IND400072AAD,IND421302AAG,99,99,2.608695652173913,1.0,54.0,21.0,26.2466,5601.0,120.0,0.10050378152592121,99,99,0.21367717007649803,True,Mumbai_Chndivli_PC (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),IND400072AAD → IND421302AAG,0.35951285314739273
IND421302AAG,IND400072AAB,105,105,2.5789473684210527,1.0,54.0,21.0,27.3465,4103.0,101.0,0.09759000729485333,105,105,0.1565287321592343,True,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai Hub (Maharashtra),IND421302AAG → IND400072AAB,0.3545839467345486
IND560099AAB,IND560300AAA,121,121,1.7222222222222223,0.8842975206611571,110.0,64.0,61.269000000000005,6235.0,62.0,0.09090909090909091,107,107,0.23786415915496611,True,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),IND560099AAB → IND560300AAA,0.34787037623603045
IND562132AAA,IND560099AAB,127,127,1.5357142857142858,0.8976377952755905,85.0,54.0,52.2289,4711.0,170.0,0.08873565094161139,114,114,0.17972382578653492,True,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),IND562132AAA → IND560099AAB,0.3379899334767708
IND847226AAA,IND842001AAA,21,21,9.195121951219512,1.0,754.0,82.0,118.7312,13906.0,35.0,0.2182178902359924,21,21,0.530511467074412,True,Jaynagar_Wardno6_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND847226AAA → IND842001AAA,0.3359733794476759
IND421302AAG,IND110037AAM,19,19,1.90633608815427,1.0,2098.0,1114.0,1474.1167,19128.0,168.0,0.22941573387056174,19,19,0.7297298534588921,True,Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi),IND421302AAG → IND110037AAM,0.3319271006989954
IND421302AAG,IND562132AAA,30,30,1.734394736842105,1.0,1321.0,760.5,981.8785499999999,17451.0,245.5,0.18257418583505536,30,30,0.6657525968585908,True,Bhiwandi_Mankoli_HB (Maharashtra),Bangalore_Nelmngla_H (Karnataka),IND421302AAG → IND562132AAA,0.3267417390971792
IND421302AAG,IND401104AAA,78,78,2.755928853754941,1.0,63.5,25.0,28.986250000000002,4266.0,93.5,0.11322770341445956,78,78,0.1627471536415534,True,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),IND421302AAG → IND401104AAA,0.32673085289078607
IND212402AAA,IND211002AAB,13,13,10.0,1.0,1049.0,38.0,51.792500000000004,13154.0,77.0,0.2773500981126146,13,13,0.5018227986406454,True,Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),IND212402AAA → IND211002AAB,0.31939569250117905
IND400072AAB,IND421302AAG,63,63,3.0869565217391304,1.0,66.0,22.0,28.077399999999997,4365.0,108.0,0.1259881576697424,63,63,0.1665239863209987,True,Mumbai Hub (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),IND400072AAB → IND421302AAG,0.31697730964733006
IND000000ACB,IND600056AAB,14,14,1.665252355830126,1.0,2995.5,1761.5,2348.629,18925.0,250.5,0.2672612419124244,14,14,0.7219854389747768,True,Gurgaon_Bilaspur_HB (Haryana),MAA_Poonamallee_HB (Tamil Nadu),IND000000ACB → IND600056AAB,0.31431238680499984
IND400072AAB,IND401104AAA,72,72,3.033333333333333,1.0,48.0,16.0,20.7678,2474.0,43.5,0.11785113019775793,72,72,0.0943826671610884,True,Mumbai Hub (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),IND400072AAB → IND401104AAA,0.3141132945553634
IND421302AAG,IND411033AAA,72,72,1.8616427432216907,1.0,211.0,114.0,131.65305,7873.0,140.0,0.11785113019775793,72,72,0.30035357257851614,True,Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),IND421302AAG → IND411033AAA,0.31239117959749685
IND425405AAA,IND424006AAA,14,14,10.0,1.0,1035.0,48.0,64.5275,12008.0,14.5,0.2672612419124244,14,14,0.4581030991391874,True,Shirpur_KrantiNgr_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),IND425405AAA → IND424006AAA,0.31172100822721793
IND562132AAA,IND751002AAB,15,15,2.0009225092250924,1.0,2169.0,1099.0,1528.4059,16751.0,380.0,0.2581988897471611,15,15,0.6390477193271592,True,Bangalore_Nelmngla_H (Karnataka),Bhubaneshwar_Hub (Orissa),IND562132AAA → IND751002AAB,0.31157889902727154
IND416606AAA,IND416510AAA,10,10,10.0,1.0,1207.0,44.0,47.8016,12326.0,89.0,0.31622776601683794,10,10,0.4702347435034663,True,Malvan_BllvMarg_D (Maharashtra),Sawantwadi_LaxmiNgr_D (Maharashtra),IND416606AAA → IND416510AAA,0.30888728187391923
IND751002AAB,IND562132AAA,13,13,2.0964066608238388,1.0,2396.0,1138.0,1573.2754,16219.0,58.0,0.2773500981126146,13,13,0.6187520124032712,True,Bhubaneshwar_Hub (Orissa),Bangalore_Nelmngla_H (Karnataka),IND751002AAB → IND562132AAA,0.3084346264992383
IND110037AAM,IND421302AAG,18,18,1.7824311318868111,1.0,1985.5,1104.0,1454.74775,16770.0,321.5,0.23570226039551587,18,18,0.6397725660030124,True,Delhi_Airport_H (Delhi),Bhiwandi_Mankoli_HB (Maharashtra),IND110037AAM → IND421302AAG,0.30725228801048865
IND176310AAA,IND145001AAA,13,13,6.2298850574712645,1.0,1065.0,171.0,124.2268,11476.0,30.0,0.2773500981126146,13,13,0.43780739221529935,True,Chamba_Bangotu_D (Himachal Pradesh),Pathankot_DC (Punjab),IND176310AAA → IND145001AAA,0.30620594246187705
