source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND383255AAB,IND384205AAA,FTL,night,2,2,1.5145467983605454,185.0,122.0,1.0,126.0,1.8226866738120757,1.7946739578619366
IND383315AAC,IND383255AAB,FTL,night,12,12,1.2141304347826085,109.0,90.5,0.5,275.0,1.8226866738120757,1.5944780841760255
IND383315AAC,IND384205AAA,FTL,night,1,1,1.32,132.0,100.0,1.0,32.0,1.8226866738120757,1.7987492131543579
IND384170AAA,IND384265AAB,FTL,night,12,12,1.3049242424242424,30.0,24.0,0.6666666666666666,107.0,1.8226866738120757,1.6285257620416385
IND384205AAA,IND382430AAB,FTL,late_evening,1,1,1.869047619047619,157.0,84.0,1.0,73.0,1.8333333333333333,1.8350340136054422
IND384205AAA,IND382715AAA,FTL,late_evening,7,7,1.5384615384615385,60.0,39.0,1.0,164.0,1.8333333333333333,1.7568850902184234
IND384205AAA,IND382715AAA,FTL,night,11,11,1.435897435897436,56.0,39.0,1.0,244.0,1.8226866738120757,1.6854388797133326
IND384205AAA,IND383001AAA,FTL,late_evening,3,3,1.3181818181818181,87.0,64.0,0.6666666666666666,62.0,1.8333333333333333,1.7661396574440051
IND384205AAA,IND383001AAA,FTL,night,8,8,1.361032196969697,89.5,66.0,0.75,202.0,1.8226866738120757,1.6907853947142535
IND384205AAA,IND384170AAA,FTL,late_evening,2,2,1.5357142857142858,43.0,28.0,1.0,30.0,1.8333333333333333,1.806277056277056
IND384205AAA,IND384170AAA,FTL,night,4,4,1.138095238095238,33.0,28.0,0.25,40.0,1.8226866738120757,1.7085881011926027
IND384205AAA,IND384355AAB,FTL,late_evening,4,4,1.9402852049910875,63.0,32.0,1.0,112.0,1.8333333333333333,1.851158645276292
IND384205AAA,IND384355AAB,FTL,night,9,9,1.6666666666666667,55.0,33.0,1.0,238.0,1.8226866738120757,1.774266671594535
IND384205AAA,IND385001AAA,FTL,late_evening,1,1,1.7525773195876289,170.0,97.0,1.0,73.0,1.8333333333333333,1.829487808869252
IND384265AAB,IND385320AAA,FTL,night,11,11,1.2125,98.0,81.0,0.6363636363636364,212.0,1.8226866738120757,1.6061688218142425
IND384265AAB,IND385340AAB,FTL,night,1,1,1.2280701754385965,140.0,114.0,1.0,26.0,1.8226866738120757,1.7943716024609577
IND384355AAB,IND384205AAA,FTL,morning,1,1,2.3666666666666667,71.0,30.0,1.0,41.0,1.8750586854460094,1.89846858931366
IND384355AAB,IND385001AAA,FTL,night,12,12,1.4253565062388591,95.5,66.5,1.0,384.0,1.8226866738120757,1.6736878609721195
IND385001AAA,IND385535AAA,FTL,night,14,14,1.5277777777777777,26.0,16.0,1.0,167.0,1.8226866738120757,1.7012535989744235
IND385320AAA,IND385340AAB,FTL,night,16,16,0.7539464653397392,28.0,33.5,0.0,8.0,1.8226866738120757,1.3476910256021484
